idx,audiocap_id,original_caption,neg_minimal_semantic_flip_gpt,neg_meaning_flip_claude,neg_visual_only_details,neg_reasoning_inference,neg_hallucinations,neg_quantitative_distortion,neg_partial_contradiction,neg_causal_inconsistency,neg_acoustic_scale_violation,neg_scene_coherence_violation,neg_different_words_different_meaning,neg_reasoning,neg_visual_info,neg_partial_hallucinations,neg_missing_info,neg_wrong_lex_sim,neg_wrong_lex_diff
72,105403,A drone whirring followed by a crashing sound,A drone silence followed by a crashing sound,A crashing sound followed by a drone whirring,A black quadcopter drone whirring overhead followed by a crashing sound as it hits a wooden fence.,A drone whirring followed by a crashing sound because the pilot lost control while trying to capture a risky aerial shot.,A DJI Phantom 4 drone whirring loudly overhead before crashing into a dense oak tree in a suburban park.,A drone whirring followed by a deafening crashing sound,A silent drone whirring followed by a crashing sound,A crashing sound followed by a drone whirring,A mosquito's buzz overpowers a drone whirring followed by a crashing sound,A drone whirring followed by a crashing sound while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,A drone whirring followed by a crashing sound because the pilot lost control while trying to capture a risky aerial shot.,A black quadcopter drone whirring overhead followed by a crashing sound as it hits a wooden fence.,A fan humming followed by a crashing sound,A crashing sound is heard.,A crashing sound followed by a drone whirring,Wind howls through narrow alleyways as distant thunder rumbles overhead.
73,105400,A man talking as a helicopter flies by,A man silent as a helicopter flies by,A helicopter talking as a man flies by,A bearded man wearing a blue shirt is talking while standing next to a window as a black helicopter flies by.,"A man talking as a helicopter flies by, seemingly trying to be heard over the noise because he's delivering urgent news.",A man in a navy blue jacket talks animatedly on his phone as a black military-style helicopter flies low over a city park at dusk.,A man talking as a helicopter flies by briefly,A silent man talking as a helicopter flies by,A man talking as a helicopter flies by,A man's whisper overpowers a helicopter flying by,A man talking as a helicopter flies by while the room remains in complete silence.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"A man talking as a helicopter flies by, seemingly trying to be heard over the noise because he's delivering urgent news.",A bearded man wearing a blue shirt is talking while standing on a rooftop as a black helicopter flies by next to a tall building.,A man talking as a distant siren wails,A man talking.,A helicopter talking as a man flies by,Wind howls through narrow alleyways as distant thunder rumbles overhead.
74,106661,"Screaming, wind and an engine running, and laughing","Screaming, wind and an engine running, and crying","Screaming, wind and an engine running, and crying","Screaming from a young woman in a red dress, wind howling past a tall pine tree, an engine running in a black sedan parked on a gravel road, and laughing from a bearded man wearing a hat.","Screaming, wind and an engine running, and laughing — the screaming is in excitement as the rollercoaster climbs the hill, the wind rushes past because the ride is accelerating, the engine hums steadily to power the ascent, and the laughter bursts out joyfully as riders anticipate the thrilling drop ahead.","Screaming in terror, howling wind through a forest, a diesel engine roaring loudly, and hysterical laughter from a group of teenagers in a parked car.","Screaming, wind and an engine running, and laughing softly","Quiet screaming, wind and an engine running, and laughing","Screaming, wind and an engine running, and laughing","A mouse's squeak drowns out screaming, wind and an engine running, and laughing","Screaming, wind and an engine running, and laughing while owls hoot in the distance.",A choir sings in harmony as bells chime softly in the background.,"Screaming, wind and an engine running, and laughing — the screaming is in excitement as the rollercoaster climbs the hill, the wind rushes because the ride is accelerating, the engine hums steadily to power the ascent, and the laughter bursts out as riders anticipate the thrilling drop ahead.","Screaming from a young woman in a red jacket, wind howling past a tall pine tree, an engine running in a black sedan parked on a gravel road, and laughing from a bearded man standing next to a wooden fence.","Shouting, wind and an engine running, and clapping",Laughing is heard.,"Screaming, wind and an engine running, and crying",A choir sings in harmony as church bells chime in the background.
75,106667,A series of computer mouse clicks followed by a kid crying,A series of computer mouse clicks followed by a kid laughing,A kid crying followed by a series of computer mouse clicks,A series of computer mouse clicks followed by a young child in a blue shirt crying while sitting on a wooden floor.,"A series of computer mouse clicks followed by a kid crying, likely because they accidentally deleted their game save and are now upset.",A series of rapid computer mouse clicks from a Logitech MX Master 3 followed by a 5-year-old boy crying in distress after accidentally closing his favorite game in a cluttered bedroom.,A single computer mouse click followed by a kid crying,A series of silent computer mouse clicks followed by a kid crying,A kid crying followed by a series of computer mouse clicks,A single mouse click overpowers a series of computer mouse clicks followed by a kid crying,A series of computer mouse clicks followed by a kid crying while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"A series of computer mouse clicks followed by a kid crying, likely because they accidentally closed an important game or lost progress.",A series of computer mouse clicks followed by a young child in a blue shirt crying while sitting on a wooden floor.,A series of keyboard taps followed by a kid crying,A kid is crying.,A series of computer mouse clicks followed by a kid laughing,Wind howls through narrow alleyways as distant thunder rumbles overhead.
76,106666,A series of electronic beeps followed by static,A series of electronic beeps preceded by static,A series of static followed by electronic beeps,A series of electronic beeps followed by static emanating from a black desktop monitor sitting on a wooden desk in a dimly lit room.,"A series of electronic beeps followed by static, likely indicating a device malfunctioning due to overheating.","A series of sharp, high-pitched electronic beeps from an old IBM server followed by harsh AM radio static in a dimly lit server room.",A single electronic beep followed by static,A series of silent electronic beeps followed by static,Static followed by a series of electronic beeps,A single cricket's chirp overpowers a series of electronic beeps followed by static,A series of electronic beeps followed by static while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"A series of electronic beeps followed by static, likely indicating a device malfunctioning due to overheating.",A series of electronic beeps followed by static emanating from a black desktop monitor sitting on a wooden desk in a dimly lit room.,A series of electronic beeps followed by a dial-up modem connecting,Electronic beeps are heard.,A series of static followed by electronic beeps,Wind howls through narrow alleyways as distant thunder rumbles overhead.
77,106665,Loud snoring repeating,Loud snoring ceasing,Quiet snoring repeating,Loud snoring repeating from a bearded man lying on a blue couch in a dimly lit living room.,"Loud snoring repeating because the person is deeply asleep and completely relaxed, unaware of the noise they're making.",Loud snoring repeating rhythmically from a middle-aged man sleeping on his back in a dimly lit bedroom with a white noise machine humming softly nearby.,Loud snoring repeating briefly,Loud silent snoring repeating,Loud snoring repeating,A whispering moth overpowers loud snoring repeating,Loud snoring repeating while a packed stadium roars.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,Loud snoring repeating because the person is deeply asleep and completely relaxed.,Loud snoring repeating from a bearded man lying down on a blue couch.,Loud snoring repeating,Snoring is heard.,Quiet snoring repeating,A train whistle echoes through a valley as wheels clatter over tracks.
78,106664,Water pouring down a drain with a series of metal clangs followed by a metal chain rattling,Water rising up a drain with a series of metal clangs followed by a metal chain rattling,Water pouring down a drain with a series of metal clangs followed by a metal chain silent,Water pouring down a stainless steel drain with a series of metal clangs followed by a rusty metal chain rattling on a concrete floor,"Water pouring down a drain with a series of metal clangs followed by a metal chain rattling, likely because someone is frantically trying to unclog the pipe before the basement floods.","Water pours forcefully down a stainless steel kitchen sink drain, accompanied by a series of sharp metal clangs from a dropped spoon, followed by the rattling of a heavy iron chain sliding across a tiled floor in a dimly lit basement.",Water pouring down a drain with a series of metal clangs followed by a metal chain rattling loudly,Still water pouring down a drain with a series of metal clangs followed by a metal chain rattling,A metal chain rattling followed by water pouring down a drain with a series of metal clangs,A single drop of water pouring down a drain overpowers a series of metal clangs followed by a metal chain rattling,Water pouring down a drain with a series of metal clangs followed by a metal chain rattling while dry desert winds blow hot across the scene.,A distant train whistle echoes across open fields as wind rustles through tall grass and a lone cow moos nearby.,"Water pouring down a drain with a series of metal clangs followed by a metal chain rattling, likely because someone is frantically trying to unclog the pipe before the basement floods.",Water pouring down a stainless steel drain with a series of metal clangs followed by a rusty metal chain rattling on a concrete floor,Water pouring down a drain with a series of metal clangs followed by a pipe vibrating,Water pouring down a drain.,Water pouring down a drain with a series of metal clangs followed by a metal chain silence,A distant train whistle echoes across open fields as wind rustles through tall grass and a lone cow moos nearby.
79,106669,A man talking as water splashes,A man silent as water splashes,Water talking as a man splashes,A bearded man wearing a blue shirt is talking while standing next to a pool as water splashes.,"A man talking as water splashes, likely trying to calm himself down while standing in the rain after a stressful day.",A man in a navy blue raincoat talks animatedly while standing under a streetlamp as rainwater splashes around his boots in a quiet city alley at dusk.,A man talking as water splashes loudly,A man talking as still water splashes,A man talking as water splashes,A mouse's squeak drowns out a man talking as water splashes,A man talking as water splashes while dry leaves crackle underfoot.,Metal gears grind loudly inside a factory machine.,"A man talking as water splashes, likely trying to calm himself down while wading through a river after getting lost.",A bearded man wearing a blue shirt is talking while standing next to a window as water splashes on a wooden deck.,A man talking as rain patters on a surface,A man talking.,Water talking as a man splashes,Wind howls through narrow alleyways as distant thunder rumbles overhead.
80,106668,Wind blowing and water splashing,Wind calming and water stilling,Wind not blowing and water not splashing,Wind blowing through tall green grass and water splashing on a rocky shore next to a wooden pier.,"Wind blowing and water splashing, as if the sea is reacting angrily to an approaching storm.",Gentle ocean breeze blowing through palm trees while waves crash rhythmically onto a sandy beach at sunset.,Wind blowing and water splashing loudly,Still wind blowing and water splashing,Wind blowing and water splashing,A single drop of water splashing drowns out wind blowing.,Wind blowing and water splashing while dry leaves crackle underfoot.,A subway train rumbles underground as passengers chatter and footsteps echo on tiled floors.,"Wind blowing and water splashing, as if the sea is reacting angrily to an approaching storm.",Wind blowing through tall green grass and water splashing on a rocky shore next to a wooden pier.,Wind blowing and rain pattering,Wind blowing.,Wind not blowing and water not splashing,A train whistle echoes through a valley as wheels grind along steel tracks.
81,102753,A group of people laughing followed by a man talking,A group of people crying followed by a man talking,A man laughing followed by a group of people talking,"A group of young people in colorful shirts laughing while sitting on a park bench, followed by a bearded man in a suit talking near a wooden table.","A group of people laughing happily, enjoying a joke, followed by a man talking seriously, trying to explain something important.",A group of young friends laughing joyfully in a cozy café followed by a middle-aged man with a slight accent talking earnestly into a vintage microphone.,One person laughing followed by a man talking,A group of silent people laughing followed by a man talking,A man talking followed by a group of people laughing,A single cricket's chirp overpowers a group of people laughing followed by a man talking,A group of people laughing followed by a man talking while owls hoot in the distance as midday traffic roars nearby.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"A group of people laughing happily, enjoying a joke, followed by a man talking seriously, trying to explain something important.","A group of young people in colorful shirts laughing while sitting on a park bench, followed by a bearded man in a suit talking near a wooden table.",A group of people cheering followed by a man talking,People are laughing.,A man laughing followed by a group of people talking,Wind howls through narrow alleyways as distant thunder rumbles overhead.
82,102751,Girl speaks and crunches plastic wrapping,Girl screams and crushes plastic wrapping,Plastic wrapping speaks and crunches girl,A young girl wearing a pink shirt speaks and crunches plastic wrapping while sitting on a wooden table.,"Girl speaks and crunches plastic wrapping, happily trying to get someone's attention before opening a gift.",A teenage girl with braces speaks animatedly while crunching a plastic candy wrapper in a dimly lit bedroom.,Girl speaks and crunches plastic wrapping loudly,Girl speaks and silently crunches plastic wrapping,Girl crunches plastic wrapping and speaks,A mouse's squeak drowns out a girl speaking and crunching plastic wrapping,Girl speaks and crunches plastic wrapping while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"Girl speaks and crunches plastic wrapping, happily trying to get someone's attention before opening a gift.",A young girl wearing a pink shirt speaks and crunches plastic wrapping while sitting on a wooden table.,Girl speaks and crinkles paper bag,Girl speaks.,Plastic wrapping speaks and crunches girl,Wind howls through narrow alleyways as distant thunder rumbles overhead.
83,102750,Pigeons cooing as air lightly hisses in the background followed by a camera muffling,Pigeons hissing as air lightly coos in the background followed by a camera muffling,Air cooing as pigeons lightly hisses in the background followed by a camera muffling,Pigeons cooing on a stone ledge as air lightly hisses in the background followed by a camera muffling under a black velvet cloth,"Pigeons cooing as air lightly hisses in the background followed by a camera muffling, likely because someone is trying to capture the peaceful moment without startling the birds.","Pigeons cooing softly in a sunlit city square as air lightly hisses from a nearby ventilation grate, followed by the muffled click of a Canon DSLR camera being adjusted by a photographer wearing gloves.",Pigeons cooing as air deafeningly hisses in the background followed by a camera muffling,Pigeons cooing as air lightly hisses in the background followed by a soundless camera muffling,A camera muffling followed by pigeons cooing as air lightly hisses in the background,A single pigeon's whisper overpowers pigeons cooing as air lightly hisses in the background followed by a camera muffling,Pigeons cooing as air lightly hisses in the background followed by a camera muffling while ocean waves crash nearby.,A train whistle echoes across a valley as gravel crunches underfoot and distant thunder rumbles overhead.,"Pigeons cooing as air lightly hisses in the background followed by a camera muffling, likely because someone is trying to capture the peaceful moment without startling the birds.",Pigeons cooing on a stone ledge as air lightly hisses in the background followed by a camera muffling under a black velvet cloth,Pigeons cooing as wind softly whistles in the background followed by a camera muffling,Pigeons cooing.,Air cooing as pigeons lightly hisses in the background followed by a camera muffling,A train whistle echoes across a valley as gravel crunches underfoot and distant thunder rumbles overhead.
84,102757,A series of compressed air spraying as a motor hums in the background,A series of compressed air sucking as a motor hums in the background,A series of compressed air humming as a motor sprays in the background,"A series of compressed air spraying from a silver nozzle as a motor hums in the background, next to a wooden workbench in a garage.","A series of compressed air spraying as a motor hums in the background, likely because a mechanic is cleaning parts before assembly, feeling focused and efficient.",A series of compressed air spraying rhythmically from a silver industrial nozzle as a vintage Honda motor hums steadily in the background of a dimly lit garage.,A single burst of compressed air spraying as a motor hums in the background,A series of silent compressed air spraying as a motor hums in the background,A motor hums in the background as a series of compressed air spraying,A single drop of water dripping overpowers a series of compressed air spraying as a motor hums in the background,A series of compressed air spraying as a motor hums in the background while ocean waves crash nearby.,Wind whistles through tall grass as distant thunder rumbles under a clearing sky.,"A series of compressed air spraying as a motor hums in the background, likely because a mechanic is cleaning parts before assembly, working with focused precision.","A series of compressed air spraying from a silver nozzle as a motor hums in the background, next to a wooden workbench in a garage.",A series of compressed air spraying as a fan whirs in the background,A motor hums in the background.,A series of compressed air humming as a motor sprays in the background,Wind whistles through narrow alleyways as distant church bells chime slowly.
85,102756,Low ticktock sounds followed by objects moving,Low ticktock sounds followed by objects stilling,Objects moving followed by low ticktock sounds,Low ticktock sounds followed by objects moving on a wooden table in a dimly lit room,"Low ticktock sounds followed by objects moving, as if someone is nervously pacing while waiting for a clock to strike midnight.",Low ticktock sounds from an antique grandfather clock followed by the soft scrape of wooden furniture being rearranged in a dimly lit Victorian parlor.,Low ticktock sounds followed by one object moving,Low ticktock sounds followed by motionless objects moving,Objects moving followed by low ticktock sounds,A faint mouse squeak overpowers low ticktock sounds followed by objects moving,Low ticktock sounds followed by objects moving while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"Low ticktock sounds followed by objects moving, as if someone is nervously pacing while waiting for a clock to strike midnight.",Low ticktock sounds followed by objects moving on a wooden table in a dimly lit room.,Low ticking sounds followed by papers shuffling,Ticktock sounds are heard.,Objects moving followed by low ticktock sounds,Wind howls through narrow alleyways as distant thunder rumbles overhead.
86,102755,"Gunshots fire, an adult male speaks, footfalls and clicking occur as other adult males speak, gunshots fire again, an adult male speaks, and a dog growls","Gunshots silence, an adult male speaks, footfalls and clicking occur as other adult males speak, gunshots silence again, an adult male speaks, and a dog purrs","Gunshots fire, an adult male speaks, footfalls and clicking occur as other adult males speak, gunshots fire again, an adult male speaks, and a dog barks","Gunshots fire from a black handgun, an adult male wearing a beige trench coat speaks while standing in a dimly lit alley, footfalls and clicking occur as other adult males in dark suits speak near a rusted dumpster, gunshots fire again from a silver revolver, an adult male with a beard speaks while leaning against a brick wall, and a large black Labrador growls beside a wooden crate.","Gunshots fire, an adult male speaks nervously, footfalls and clicking occur as other adult males speak urgently, gunshots fire again, an adult male speaks trying to calm the situation, and a dog growls in fear before fleeing.","Gunshots fire sharply in a dimly lit alleyway, an adult male with a gruff southern accent speaks urgently into a walkie-talkie, heavy footfalls and metallic clicking echo as two other adult males—both in tactical gear—mutter in low tones, gunshots fire again louder this time, the first man exhales sharply and mutters 'we’re surrounded,' and a German Shepherd growls protectively beside him.","Gunshots fire, an adult male speaks, footfalls and clicking occur as one adult male speaks, gunshots fire again, an adult male speaks, and a dog growls","Gunshots fire, an adult male speaks, motionless footfalls and clicking occur as other adult males speak, gunshots fire again, an adult male speaks, and a dog growls","An adult male speaks, gunshots fire, footfalls and clicking occur as other adult males speak, an adult male speaks, gunshots fire again, and a dog growls","A mouse's squeak drowns out gunshots firing, an adult male speaking, footfalls and clicking occurring as other adult males speak, gunshots firing again, an adult male speaking, and a dog growling","Gunshots fire, an adult male speaks, footfalls and clicking occur as other adult males speak, gunshots fire again, an adult male speaks, and a dog growls while ocean waves crash in the background.",Wind whistles through tall grass as distant thunder rumbles and a bicycle bell chimes softly nearby.,"Gunshots fire, an adult male speaks nervously, footfalls and clicking occur as other adult males speak urgently, gunshots fire again, an adult male speaks trying to calm the situation, and a dog growls in fear before the next shot.","Gunshots fire from a black handgun, an adult male wearing a beige trench coat speaks while standing in a dimly lit alley, footfalls and clicking occur as other adult males in dark suits speak near a rusted dumpster, gunshots fire again from a silver revolver, an adult male with a beard speaks while leaning against a brick wall, and a large black Labrador growls beside a wooden crate.","Gunshots fire, an adult male speaks, floorboards creak and clicking occur as other adult males speak, gunshots fire again, an adult male speaks, and a dog barks",A dog growls.,"Gunshots fire, an adult male speaks, footfalls and clicking occur as other adult males speak, gunshots fire again, an adult male speaks, and a dog barks",Wind howls through canyon walls as distant thunder rumbles and a lone owl calls from a pine tree.
87,102754,Footsteps shuffling on snow alongside a camera muffling while wind blows into a microphone,Footsteps shuffling on snow alongside a camera amplifying while wind blows into a microphone,Footsteps shuffling on snow alongside a camera muffling while wind sucks out of a microphone,"Footsteps shuffling on snow alongside a camera muffling while wind blows into a microphone, with a bearded man in a black parka standing next to a wooden fence in a snowy field.","Footsteps shuffling on snow alongside a camera muffling while wind blows into a microphone, suggesting someone is nervously trying to capture footage in harsh weather before the battery dies.",Footsteps shuffling on fresh powder snow alongside a Canon EOS R5 camera muffling while a cold Arctic wind blows into a Rode NTG5 microphone in a remote Alaskan forest.,Footsteps shuffling on snow alongside a camera muffling while wind blows into a microphone loudly,Motionless footsteps shuffling on snow alongside a camera muffling while wind blows into a microphone,Wind blows into a microphone alongside a camera muffling while footsteps shuffling on snow,A distant mouse's squeak drowns out footsteps shuffling on snow alongside a camera muffling while wind blows into a microphone,Footsteps shuffling on snow alongside a camera muffling while dry leaves crackle underfoot,A train whistle echoes through a valley as metal wheels grind against rails and distant cows low in a pasture.,"Footsteps shuffling on snow alongside a camera muffling while wind blows into a microphone, as the person filming tries to steady their hands in the cold, nervously anticipating a wildlife sighting.","Footsteps shuffling on snow alongside a camera muffling while wind blows into a microphone, with a bearded man in a black winter coat standing next to a pine tree.",Footsteps crunching on gravel alongside a camera muffling while wind blows into a microphone,Wind blows into a microphone.,Footsteps shuffling on snow alongside a camera muffling while wind blows out of a microphone,A train whistle echoes through a valley as metal wheels grind against rails and distant cows low in a pasture.
88,102759,Duck quacking repeatedly,Duck silence repeatedly,Duck silent repeatedly,A brown mallard duck quacking repeatedly while standing on a wooden dock.,"Duck quacking repeatedly, happily calling out to its flock before flying south for the winter.",A mallard duck quacks repeatedly near a serene pond in Central Park at dusk.,Duck quacking briefly,Silent duck quacking repeatedly,Duck quacking repeatedly,A mouse's squeak drowns out a duck quacking repeatedly,Duck quacking repeatedly while dry leaves crackle underfoot.,A train whistle echoes through a mountain valley as wheels clatter over steel tracks.,"Duck quacking repeatedly, angrily trying to warn others of an approaching predator.",A brown mallard duck quacking repeatedly while standing on a wooden dock next to a pond.,Goose honking repeatedly,A bird sound is heard.,Duck silent repeatedly,A train whistle echoes through a mountain valley as wheels clatter over steel tracks.
89,102758,Tribal drums playing as footsteps shuffle on wet dirt as frogs and crickets chirp in the background,Tribal drums silence as footsteps shuffle on wet dirt as frogs and crickets chirp in the background,Tribal drums playing as frogs and crickets shuffle on wet dirt as footsteps chirp in the background,Tribal drums playing as barefoot footsteps shuffle on wet red dirt near a muddy pond as frogs and crickets chirp in the background,"Tribal drums playing as footsteps shuffle on wet dirt as frogs and crickets chirp in the background, suggesting a nighttime ritual is underway, with participants moving rhythmically in anticipation of a spiritual ceremony.","Tribal drums from a West African djembe ensemble pulse rhythmically as barefoot footsteps shuffle on rain-slicked red clay, while bullfrogs and field crickets chirp in harmony under a full moon near a village clearing.",Tribal drums playing as footsteps shuffle on wet dirt as one frog and one cricket chirp in the background,Tribal drums playing as motionless footsteps shuffle on wet dirt as frogs and crickets chirp in the background,Tribal drums playing as footsteps shuffle on wet dirt as frogs and crickets chirp in the background,A single cricket's chirp overpowers tribal drums playing as footsteps shuffle on wet dirt as frogs and crickets chirp in the background,Tribal drums playing as footsteps shuffle on wet dirt as frogs and crickets chirp in the background while dry leaves crackle underfoot.,"A train whistle echoes across a valley as metal wheels grind along rails, with distant wind rustling through dry grass.","Tribal drums playing as footsteps shuffle on wet dirt as frogs and crickets chirp in the background, suggesting a ceremonial dance is underway under moonlight, with participants moving rhythmically in reverence to ancestral spirits.",Tribal drums playing as barefoot footsteps shuffle on wet red dirt near a muddy pond as frogs and crickets chirp in the background,Tribal drums playing as leaves rustle in the wind as frogs and crickets chirp in the background,Frogs and crickets chirp in the background.,Footsteps play as tribal drums shuffle on wet dirt as frogs and crickets chirp in the background,"A train whistle echoes across a valley as metal wheels grind along rails, with distant cows lowing in a pasture."
90,107130,A rooster clucking followed by a dog whimpering then a man talking and a dog barking,A rooster barking followed by a dog talking then a man whimpering and a dog clucking,A dog clucking followed by a rooster whimpering then a man talking and a dog barking,"A brown rooster clucking in a farmyard followed by a golden retriever whimpering while lying on a wooden porch, then a bearded man in a plaid shirt talking next to a window, and the same dog barking while standing in the grass.","A rooster clucking followed by a dog whimpering in fear, then a man talking soothingly to calm the dog, and the dog barking excitedly as it realizes its owner is near.","A rooster clucking loudly at dawn in a rural farmyard, followed by a small terrier whimpering nervously near a wooden fence, then a middle-aged farmer speaking in a calm voice while holding a coffee mug, and finally a large German shepherd barking sharply from the barn doorway.",A rooster clucking followed by a dog whimpering then a man talking and one dog barking,A silent rooster clucking followed by a dog whimpering then a man talking and a dog barking,A dog whimpering followed by a rooster clucking then a man talking and a dog barking,A mouse's squeak overpowers a rooster clucking followed by a dog whimpering then a man talking and a dog barking,A rooster clucking followed by a dog whimpering then a man talking and a dog barking while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles and a streetlamp flickers on and off.,"A rooster clucking followed by a dog whimpering in fear, then a man talking soothingly to calm the dog, and the dog barking excitedly as it realizes its owner is near.","A brown rooster clucking near a wooden fence followed by a small beagle whimpering while lying on a porch, then a bearded man in a plaid shirt talking beside a red pickup truck and the same dog barking while standing on its hind legs.",A rooster clucking followed by a cat meowing then a man talking and a dog barking,A rooster clucking is heard.,A dog clucking followed by a rooster whimpering then a man talking and a rooster barking,Wind howls through narrow alleyways as distant thunder rumbles and a bicycle bell rings sharply.
91,107131,A power tool drill operating continuously,A power tool drill resting silently,A power tool drill idle continuously,A blue cordless power tool drill operating continuously on a wooden workbench in a garage.,"A power tool drill operating continuously, likely because the user is trying to secure a stubborn screw into a hard surface.","A cordless DeWalt drill operating continuously in a well-lit garage workshop, humming steadily as it drives screws into oak wood.",A power tool drill operating briefly,A silent power tool drill operating continuously,A power tool drill operating continuously,A falling leaf drowns out a power tool drill operating continuously,A power tool drill operating continuously while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"A power tool drill operating continuously, likely being used by someone trying to finish a home repair project before sunset.",A blue cordless power tool drill operating continuously on a wooden workbench in a garage.,A power tool drill operating continuously,Mechanical noise is heard.,A power tool drill idle continuously,Wind howls through narrow alleyways as distant thunder rumbles overhead.
92,107132,A man speaking as birds are chirping,A man screaming as birds are silent,Birds speaking as a man is chirping,A tall man wearing a blue shirt is speaking outdoors next to a window while birds are chirping.,"A man speaking as birds are chirping, likely enjoying the peaceful morning and wanting to share his thoughts with someone nearby.",A middle-aged American man with a slight southern accent speaks thoughtfully into a vintage microphone while sparrows chirp cheerfully from oak trees outside a sunlit farmhouse window.,A man speaking as one bird is chirping,A man speaking as quiet birds are chirping,A man speaking as birds are chirping,A single bird's chirp drowns out a man speaking as birds are chirping,A man speaking as birds are chirping while heavy rain pours overhead.,Metallic gears grind rhythmically inside a factory machine.,"A man speaking as birds are chirping, likely enjoying the peaceful morning and wanting to share his thoughts with someone nearby.",A tall man wearing a blue shirt is speaking outdoors next to a window while birds are chirping.,A woman speaking as birds are chirping,Birds are chirping.,Birds speaking as a man is chirping,Metallic clinks echo as steam hisses from a pressure valve in a factory.
93,107133,"Pretend to scream and crying is occurring, and an adult male begins to speak","Pretend to laugh and smiling is occurring, and an adult male begins to speak","Pretend to laugh and crying is occurring, and an adult male begins to speak","Pretend to scream and crying is occurring, and an adult male with a beard wearing a blue shirt begins to speak while standing in a kitchen.","Pretend to scream and crying is occurring, and an adult male begins to speak, trying to comfort the child who is pretending out of playful fear.","Pretend to scream and crying is occurring, and an adult male with a deep American accent begins to speak urgently into a handheld microphone in a dimly lit living room.","Pretend to scream and crying is occurring, and one adult male begins to speak","Pretend to scream and quiet crying is occurring, and an adult male begins to speak","Crying is occurring and pretend to scream, and an adult male begins to speak","A mouse's squeak drowns out pretend screaming, crying, and an adult male speaking.","Pretend to scream and crying is occurring, and an adult male begins to speak while ocean waves crash loudly nearby.",Wind howls through narrow alleyways as distant thunder rumbles and a bicycle bell chimes faintly nearby.,"Pretend to scream and crying is occurring, and an adult male begins to speak, trying to comfort the child who is pretending out of playful fear.","Pretend to scream and crying is occurring, and an adult male with a beard wearing a blue shirt begins to speak while standing in a kitchen.","Pretend to scream and whimpering is occurring, and an adult male begins to speak",An adult male begins to speak.,"Pretend to scream and crying is occurring, and an adult male begins to be silent",Wind howls through narrow alleyways as distant thunder rumbles and a bicycle bell chimes sharply.
94,107134,Metal scrapping against a wooden surface followed by sand scrapping then more metal scrapping against wood,Metal scrapping against a wooden surface followed by sand scrapping then more metal scrapping against stone,Sand scrapping against a wooden surface followed by metal scrapping then more sand scrapping against wood,"Metal scrapping against a weathered brown wooden surface followed by sand scrapping then more metal scrapping against wood, all occurring on a cluttered workbench in a dim garage.","Metal scrapping against a wooden surface followed by sand scrapping then more metal scrapping against wood, as if someone is nervously trying to clean or repair a rusted tool before a deadline.","A rusty iron pipe scrapes loudly against a weathered oak table, followed by coarse beach sand grinding underfoot, then the same pipe scrapes again with a metallic screech—echoing faintly in an empty warehouse.",Metal scrapping against a wooden surface followed by sand scrapping then more metal scrapping against wood for several minutes,Silent metal scrapping against a wooden surface followed by sand scrapping then more metal scrapping against wood,Sand scrapping followed by metal scrapping against a wooden surface then more metal scrapping against wood,A single grain of sand drowns out metal scrapping against a wooden surface followed by sand scrapping then more metal scrapping against wood,Metal scrapping against a wooden surface followed by sand scrapping then more metal scrapping against wood while ocean waves crash nearby.,A distant train whistle echoes across a valley as wind rustles through tall pine trees.,"Metal scrapping against a wooden surface followed by sand scrapping then more metal scrapping against wood, as if someone is impatiently trying to clean or repair a rusted tool before a deadline.","Metal scrapping against a weathered brown wooden surface followed by sand scrapping then more metal scrapping against wood, all occurring on a dusty workbench in a garage.",Metal scraping against a wooden surface followed by gravel crunching then more metal scraping against wood,Metal scrapes against wood.,Sand scrapping against a wooden surface followed by metal scrapping then more sand scrapping against wood,A distant train whistle echoes through a valley as wind rustles dry grass and a single crow calls overhead.
